Internal Pressure Operation,
KP (m),Pressure (Pa)
0,4675199.3
49.77392578,4679135.5
105.3183594,4684556.95
166.7973633,4689360.05
234.5483398,4693545.9
308.3671875,4697193.9
388.3652344,4700503.55
473.9560547,4706873.3
565.0131836,4716474.55
660.6811523,4719966.15
760.6640625,4717305
864.0229492,4715857.3
970.3969727,4715589.15
1078.92627,4717343.5
1178.223145,4721284.85
1277.519043,4725226.95
1376.814941,4728554.55
1476.111084,4731301.9
1575.407227,4734740.85
1674.704102,4739022.05
1774,4741366.6
1873.296143,4741741.2
1972.592041,4744483.2
2082.037109,4749594.5
2189.938232,4756359.1
2296.089111,4764774.3
